product_name,target,dataset_type
Обои бумажные Rasch Kids&Teens III розовые 0.53 м 210934,1,train
Обои флизелиновые Elysium Танго бежевые 1.06 м Е15301,0,train
Обои флизелиновые Rasch Florentine II оранжевые 0.53 м 448573,0,train
Обои бумажные Rasch Kids&Teens III розовые 0.53 м 210934,1,train
Обои бумажные Брянск Яблочный к-4 0.53 м Яблочный к-4 Х 24 бумаж.Обои Брянск,1,train
Обои виниловые Плитка бежевые 0.53 м 0217-2,0,train
"Обои флизелиновые Belvinil Либерти розовые 1.06 м Либерти 0206-61 Х 9 флиз Обои ""Belvinil""",0,train
Обои виниловые Elysium Санрайз бежевые 0.53 м 902900,0,train
Обои флизелиновые Inspire Anna Wave серые 1.06 м 956948,0,train
"Обои флизелиновые Belvinil Ришелье бежевые 1.06 м Ришелье 0153-51 Х 9 флиз Обои ""Belvinil""",0,train
Обои флизелиновые Палитра Soft cage серые 0.53 м N1000-41,0,train
Обои флизелиновые Палитра Floris коричневые 0.53 м PL51016-58,0,train
Обои флизелиновые Home Color Fresco бежевые HC31006-22 1.06 м,0,train
Обои бумажные Московская обойная фабрика Цветущий миндаль зеленые 231412-7 0.53 м,1,train
Обои флизелиновые Elysium Танго бежевые 1.06 м Е15301,0,train
Обои флизелиновые Belvinil Игрушки зелёные 1.06 м 0260-72х9,0,train
Обои флизелиновые Belvinil Игрушки жёлтые 1.06 м 0260-52х9,0,train
Обои бумажные Esprit Home Esprit 12 белые 0.53 м 327921,1,train
Обои бумажные Волны розовые 0.53 м 227-03 Д13,1,train
Обои флизелиновые Home Color Delo бежевые 1.06 м HC31053-12,0,train
Обои флизелиновые Rasch Poetry 2 бежевые 545449 0.53 м,0,train
Обои флизелиновые Rasch Diamond Dust 2016 голубые 1.06 м 903201,0,train
Обои флизелиновые Rasch Chatelaine III зеленые 968538 1.06 м,0,train
Обои бумажные Rasch Bambino XVIII серые 0.53 м 247114,1,train
Обои флизелиновые Rasch Poetry 2 бежевые 542738 0.53 м,0,train
Обои флизелиновые Rasch African Queen серые 0.53 м 422405,0,train
Обои флизелиновые A.S. Creation Metropolitan Stories белые 0.53 м 368961,0,train
Обои бумажные Erismann Lotta 2 0.53 м 7357-09,1,train
Обои виниловые Aura Texture World бежевые 0.53 м 192301,0,train
Обои на бумажной основе для кухни 0.53х10 м цвет бежевый М 586 305 00,0,train
Обои флизелиновые Rasch Florentine 2017 бежевые 0.53 м 448566,0,train
Обои бумажные Московская Обойная Фабрика Вальс-Бостон зелёные 0.53 м 237112-7,1,train
Обои флизелиновые Rasch Easy Passion бежевые 0.53 м 731545,0,train
Обои флизелиновые Vog Collection Ояс серые 1.06 м 50004-41,0,train
Обои флизелиновые Elysium Котильон белые 1.06 м Е45101,0,train
Обои флизелиновые Elysium Сен-Луи серые 1.06 м Е45306,0,train
Обои виниловые Aura Kitchen Story II бежевые 0.53 м KE29937,0,train
Обои флизелиновые Elysium Марта бежевые 1.06 м Е35502,0,train
Обои флизелиновые Belvinil Игрушки жёлтые 1.06 м 0260-52х9,0,train
Обои флизелиновые А.С. И Палитра Салют серые 1.06 м 35004-21,0,train
Обои флизелиновые Rasch Poetry бежевые 0.53 м 424034,0,train
Обои флизелиновые A.S. Creation «Кабаре» бордовые 1.06 м 1337-42,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 серые 0.53 м 724202,0,train
Обои бумажные York Opal Essence коричневые 0.53 м JC5915,1,train
Обои флизелиновые Палитра  «Полосы» серые 0.53х10 м PL51006-41,0,train
Обои флизелиновые Rasch Seduction бежевые 0.53 м 796667,0,train
Обои виниловые Aura Little England II бежевые 0.53 м PR33869,0,train
Обои бумажные Rasch Kids&Teens III синие 0.53 м 210910,1,train
Обои бумажные гофрированные Кирпичики 0.53х10 м цвет тёмно-серый 19,1,train
"Обои флизелиновые Belvinil Либерти розовые 1.06 м Либерти 0206-61 Х 9 флиз Обои ""Belvinil""",0,train
Обои флизелиновые Alteliero Duna жёлтые 1.06 м AT38330-13,0,train
Обои бумажные Незабудки 0.53х10.05 м цвет голубой,1,train
Обои флизелиновые Rasch Bond Street 2015 серые 0.53 м 726251,0,train
Обои флизелиновые Rasch Trianon 2015 бежевые 0.53 м 513493,0,train
Обои виниловые Aura Kitchen Story II бежевые 0.53 м KE29901,0,train
Обои флизелиновые Мир Авангард бежевые 1.06 м 11-216-03,0,train
Обои бумажные Моф EcoStyle серые 0.53 м 332812-1,1,train
Обои виниловые Aura Kitchen Story II бежевые 0.53 м KE29901,0,train
Обои флизелиновые Rasch Easy Passion бежевые 0.53 м 731507,0,train
Обои флизелиновые Rasch Maximum X коричневые 1.06 м 924633,0,train
Обои флизелиновые Belvinil Завитки бежевые 1.06 м 0100-63 (11СБ3),0,train
Обои флизелиновые Rasch Florentine 2017 бежевые 0.53 м 448566,0,train
Обои бумажные для детской 0.53х10 м цветные бабочки цвет бирюзовый Ra 216714,1,train
Обои виниловые Willberry Кухня белые 0.53 м 8490,0,train
"Обои на бумажной основе EcoStyle «Астра 5», 53x10.05 м, цвет серый",1,train
Обои бумажные York Opal Essence серые 0.53 м JC6032,1,train
Обои флизелиновые Vernissage Tornado синие 1.06 м 167101-82,0,train
Обои флизелиновые Rasch African Queen коричневые 0.53 м 422757,0,train
Обои флизелиновые Rasch Easy passion бежевые 0.53 м 731514,0,train
Обои флизелиновые Полоса серые 1.06 м 1023-22,0,train
Обои виниловые Aura Little England II розовые 0.53 м PR33870,0,train
Обои виниловые Aura Little England II серые 0.53 м PR33863,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 коричневые 0.53 м 724004,0,train
"Обои флизелиновые Belvinil Шафран розовые 1.06 м Шафран 0182-51 Х 9 флиз Обои ""Belvinil""",0,train
Обои флизелиновые Ateliero Alessia серые 1.06 м 38325-06,0,train
Обои флизелиновые Rasch Easy passion серые 0.53 м 731538,0,train
Обои бумажные Rasch Kids & Teens серые 247411 0.53 м,1,train
Обои флизелиновые Rasch Deco Chic 2015 бежевые 0.53 м 728835,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 бежевые 0.53 м 724035,0,train
"Обои ED1017-2, бумажные , цвет розовый, 0.53x10 м",1,train
Обои бумажные A.S. Creation Boys & Girls 5 серые 0.53 м 304682,1,train
Обои флизелиновые Belvinil Розы бежевые 1.06 м 0204-61 (11ЭСБ3),0,train
Обои бумажные Финифть голубые 0.53 м 4097-82 (С6К),1,train
Обои флизелиновые Elysium Милонга розовые 1.06 м Е75005,0,train
Обои флизелиновые Rasch Freundin зелёные 0.53 м 441000,0,train
Обои флизелиновые Rasch Chatelaine III бежевые 968514 1.06 м,0,train
Обои виниловые Vernissage Ленты бежевые 0.53 м 162077-23,0,train
Обои бумажные Брянск Океан2М бежевые 0.53 м,1,train
Обои виниловые Elysium Лимон бежевые 0.53 м 99400,0,train
Обои флизелиновые Rasch Bond Street 2015 серые 0.53 м 726602,0,train
Обои бумажные Финифть голубые 0.53 м 4097-82 (С6К),1,train
Обои бумажные Моф EcoStyle оранжевые 0.53 м 237432-3,1,train
Обои флизелиновые Rasch Trianon 2015 зелёные 0.53 м 513448,0,train
Обои виниловые Aura Kitchen Story II бежевые 0.53 м KK26755,0,train
Обои бумажные Моф EcoStyle 334512-7 0.53 м цвет бирюзовый,1,train
Обои флизелиновые Rasch Poetry 2 серые 543346 0.53 м,0,train
Обои виниловые Aura Silks & Textures зелёные 0.53 м NT33750,0,train
Обои флизелиновые Палитра Floris серые 0.53 м PL51015-44,0,train
Обои виниловые Aura Little England II голубые 0.53 м PR33864,0,train
Обои виниловые Ложки серые 0.53 м 2840,0,train
Обои бумажные Моф EcoStyle 334512-8 0.53 м цвет голубой,1,train
Обои флизелиновые Rasch African Queen коричневые 0.53 м 422696,0,train
Обои виниловые Aura Little England II коричневые 0.53 м PR33831,0,train
Обои флизелиновые Belvinil Шелк бежевые 1.06 м 0203-61 (11ЭСБ3),0,train
Обои бумажные Rasch Pummeleinhorn голубые 0.53 м 212211,1,train
Обои флизелиновые Home Color Delo бежевые 1.06 м HC31054-12,0,train
Обои флизелиновые Вензель белые 1.06 м 1126-11,0,train
Обои виниловые Палитра Мрамор 0.53х10 м цвет бежевый 1360-12,0,train
Обои флизелиновые Aura Memories коричневые 0.53 м G56118,0,train
Обои флизелиновые Rasch Out of Africa 2012 серые 0.53 м 715255,0,train
Обои виниловые Aura Kitchen Story II бежевые 0.53 м KT15511,0,train
Обои флизелиновые Индустрия Diadema бежевые 1.06 м 167055-83,0,train
Обои флизелиновые Rasch Poetry серые 0.53 м 425529,0,train
"Обои флизелиновые Belvinil Забава коричневые 1.06 м 0248-61-1,06",0,train
Обои флизелиновые Палитра Colorist белые 4044-01 1.06 м,0,train
Обои флизелиновые Rasch Easy passion бежевые 0.53 м 731583,0,train
Обои флизелиновые Rasch Maximum XII бежевые 1.06 м 926934,0,train
Обои флизелиновые Rasch Alla Prima 1.06 м 958539,0,train
Обои бумажные A.S. Creation Boys & Girls 6 0.53 м 936331,1,train
Обои флизелиновые Rasch Gentle Elegance 2016 серые 0.53 м 725698,0,train
Обои флизелиновые Home Color Serra бежевые 1.06 м HC31051-21,0,train
Обои флизелиновые Elysium Элемент коричневые 1.06 м Е76403,0,train
Обои бумажные Georgetown Designs Roses серые 0.70 м PN0412,1,train
Обои бумажные Carlisle Company Aged Elegance бежевые 0.70 м LG3378,1,train
Обои виниловые Elysium Ницца серые 0.53 м 901803,0,train
Обои флизелиновые Палитра Plaster оранжевые 1.06 м 3101-55,0,train
Обои виниловые с эффектом окрашенных стен зелёные 0.53 м 2169-77,0,train
Обои флизелиновые Rasch Selection Relief Vlies синие 0.53 м 701753,0,train
Обои виниловые Классика Дамаск белые 0.53 м 10027-11,0,train
Обои виниловые Belvinil Либерти бежевые 0.53 м БВ02180206-51,0,train
"Обои ED1016-8, бумажные , цвет коричневый, 0.53x10 м",1,train
Обои флизелиновые Индустрия Elements бежевые 1.06 м 167097-81,0,train
"Обои флизелиновые Belvinil Шелк серые 1.06 м Шелк 0203-63 Х 9 флиз Обои ""Belvinil""",0,train
"Обои VV31048-21, на флизелиновой основе, цвет бежевый, 1.06х10 м",0,train
Обои флизелиновые Rasch Florentine 2017 бежевые 0.53 м 449099,0,train
Обои флизелиновые Вензель бежевые 1.06 м 1124-11,0,train
Обои виниловые Aura Little England II розовые 0.53 м PR33852,0,train
Обои флизелиновые Rasch Poetry 2 бежевые 542714 0.53 м,0,train
"Обои ED1016-8, бумажные , цвет коричневый, 0.53x10 м",1,train
Обои бумажные Rasch Kids Teens II белые 0.53 м 292909,1,train
Обои флизелиновые Rasch Poetry 2 бежевые 545418 0.53 м,0,train
Обои бумажные 0.53х10.05 м цветы цвет бежевый МОФ 233922-4,1,train
Обои виниловые Aura Little England II бежевые 0.53 м PR33844,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 серые 0.53 м 725193,0,train
Обои флизелиновые Rasch Black Forest 2016 0.53 м 514728,0,train
Обои флизелиновые Vilia Витас серые 1.06 м 1339-61,0,train
Обои виниловые Aura Silks & Textures зелёные 0.53 м NT33750,0,train
Обои бумажные Моф EcoStyle синие 0.53 м 239302-1,1,train
Обои флизелиновые Rasch Poetry 2 зеленые 547344 0.53 м,0,train
Обои флизелиновые Палитра Stone land белые 0.53 м N1001-11,0,train
Обои флизелиновые Вензель серые 1.06 м 1116-22,0,train
Обои виниловые Belvinil Либерти бежевые 0.53 м БВ02180206-51,0,train
Обои виниловые Elisium Сладости фисташковые 0.53 м ЭЛ96623,0,train
Обои флизелиновые Industry Chloe бежевые 1.06 м 167094-94,0,train
Обои бумажные Rasch Kids & Teens II розовые 0.53 м 248111,1,train
Обои флизелиновые Палитра «Волны» бежевые 0.53х10 м PL51001-22,0,train
"Обои флизелиновые МИР Единороги, цвет голубой, 0.53x10 м 24-255-02",0,train
Обои флизелиновые Elysium Кватр серые 1.06 м Е57607,0,train
Обои флизелиновые Вензель серые 1.06 м 1125-22,0,train
Обои флизелиновые Home Color Cantata зеленые HC31093-77 1.06 м,0,train
Обои флизелиновые A.S. Creation Metropolitan Stories серые 0.53 м 368973,0,train
Обои виниловые Цветы белые 0.53 м 0002-6,0,train
Обои флизелиновые Rasch Poetry 2 бежевые 542714 0.53 м,0,train
Обои флизелиновые Rasch Florentine 2017 бежевые 0.53 м 448870,0,train
Обои флизелиновые Rasch Seduction фиолетовые 0.53 м 796360,0,train
Обои флизелиновые Elysium Адель коричневые 1.06 м Е67304,0,train
Обои виниловые Vilia Луиза бежевые 0.53 м 1189-62х12,0,train
Обои флизелиновые Belvinil Альбери зелёные 1.06 м Альбери-фон 0189-71 Х 9 флиз Обои,0,train
Обои бумажные Моф EcoStyle зелёные 0.53 м 237002-1,1,train
Обои виниловые Vernissage Кора Дерева бежевые 0.53 м 16122-23,0,train
Обои флизелиновые Belvinil Городской серые 1.06 м 0164-22,0,train
"Обои на бумажной основе EcoStyle «Марселла 2», 53x10.05 м, цвет бежевый",1,train
Обои бумажные Rasch Kids&Teens III фиолетовые 0.53 м 247466,1,train
"Обои флизелиновые Belvinil Ваниль 1.06 м Ваниль 0183-72 Х 9 флиз Обои ""Belvinil""",0,train
Обои бумажные Моф EcoStyle синие 0.53 м 239302-1,1,train
Обои флизелиновые Rasch Trianon 2015 бордовые 0.53 м 513479,0,train
Обои флизелиновые Rasch Seduction фиолетовые 0.53 м 796575,0,train
Обои флизелиновые Rasch Poetry 2 бежевые 543315 0.53 м,0,train
"Обои VV31047-21, на флизелиновой основе, цвет бежевый, 1.06х10 м",0,train
Обои флизелиновые Elysium Шпалеры розовые 1.06 м Е54854,0,train
Обои флизелиновой основе 1.06х10 м цветы ER 2254-5,0,train
Обои флизелиновые Rasch Alla Prima 1.06 м 958515,0,train
Обои флизелиновые Belvinil Игрушки 1.06 м 0259-91х6,0,train
Обои виниловые Палитра Bourbon серые 0.53 м 1368-14,0,train
Обои бумажные A.S. Creation Boys & Girls 6 0.53 м 955961,1,train
Обои флизелиновые Rasch Poetry бежевые 0.53 м 425512,0,train
"Обои флизелиновые Belvinil Ваниль 1.06 м Ваниль 0183-81 Х 9 флиз Обои ""Belvinil""",0,train
Обои на бумажной основе для кухни 0.53х10 м цвет бежевый М 586 305 00,0,train
Обои флизелиновые Rasch Trianon 2015 зелёные 0.53 м 512854,0,train
Обои флизелиновые Rasch Florentine II бежевые 0.53 м 448818,0,train
Обои виниловые Aura Kitchen Story II жёлтые 0.53 м KE29911,0,train
Обои бумажные Брянск Яблочный к-4 0.53 м Яблочный к-4 Х 24 бумаж.Обои Брянск,1,train
Обои флизелиновые Rasch b.b home passion V коричневые 0.53 м 479614,0,train
Обои на флизелиновой основе 1.06х10 м рогожка цвет бежевый Ra 967319,0,train
Обои бумажные Брянск Классик к4 коричневые 0.53 м,1,train
Обои флизелиновые Rasch Emocion 2013 бежевые 0.53 м 776225,0,train
Обои бумажные Марс 0.53х10.05 м цвет бежевый,1,train
Обои флизелиновые Вензель серые 1.06 м 1025-22,0,train
Обои виниловые Классика Дамаск белые 0.53 м 10027-11,0,train
Обои виниловые Aura Texture World бежевые 0.53 м 530807,0,train
Обои флизелиновые Вензель серые 1.06 м 1124-22,0,train
Обои флизелиновые Rasch Aurelia part.1 голубые 1.06 м 909418,0,train
Обои флизелиновые Did Манифесто бежевые 1.06 м 3003-2,0,train
Обои бумажные Феодосия белые 0.53 м 211-02 С11,1,train
Обои флизелиновые Elysium Уют коричневые 1.06 м Е77803,0,train
Обои флизелиновые Rasch Poetry бежевые 0.53 м 424058,0,train
Обои бумажные Carlisle Company Wild Orchid зелёные 0.70 м WN2555,1,train
Обои флизелиновые Elysium Элемент серые 1.06 м Е76404,0,train
Обои флизелиновые Rasch Deco Chic 2015 бежевые 0.53 м 728897,0,train
Обои бумажные для детской Птицы 0.53х10.05 м цвет розовый,1,train
Обои флизелиновые Rasch Fabulous Velvet 2012 серые 0.53 м 765090,0,train
Обои виниловые Ls 0103-5 ПВ бежевые 1116-5 0.53 м,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 коричневые 0.53 м 725667,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 бежевые 0.53 м 725742,0,train
Обои виниловые Маки красные 0.53 м 236- 01,0,train
"Обои Kvadro однотонные 103203, 1.06x10 м, виниловые на флизелиновой основе, цвет серый",0,train
Обои флизелиновые Rasch Poetry 2 зеленые 542462 0.53 м,0,train
Обои флизелиновые Belvinil Амаретто серые 1.06 м 0173-22,0,train
Обои флизелиновые Rasch Diamond Dust 2016 серые 1.06 м 903218,0,train
Обои виниловые Aura Little England II розовые 0.53 м PR33870,0,train
Обои виниловые Aura Little England II бежевые 0.53 м PR33822,0,train
Обои виниловые Belvinil Графит белые 0.53 м 0146-62х12,0,train
Обои бумажные Волны розовые 0.53 м 227-03 Д13,1,train
Обои бумажные Ronald Redding Resource II красные 0.70 м DN4628,1,train
Обои флизелиновые Sonet бежевые 1.06 м Е76300,0,train
Обои флизелиновые Rasch Trianon 2015 жёлтые 0.53 м 513035,0,train
Обои флизелиновые Rasch Trianon 2015 серые 0.53 м 512823,0,train
Обои флизелиновые Home Color Serra бежевые HC31051-14 1.06 м,0,train
Обои флизелиновые Палитра NANO белые PL44045-01a 1.06 м,0,train
Обои флизелиновые Rasch Poetry 0.53 м 425611,0,train
"Обои на бумажной основе Фрегат 587 287 01, 0.53x10 м, цвет бежевый",0,train
Обои флизелиновые Rasch Chatelaine III бежевые 968521 1.06 м,0,train
Обои флизелиновые Sonet серые 1.06 м Е77705,0,train
Обои флизелиновые Rasch Poetry 0.53 м 425628,0,train
Обои бумажные Голландия зелёные 0.53 м 25-МО,1,train
Обои флизелиновые Rasch Trianon 2015 коричневые 0.53 м 513387,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 бордовые 0.53 м 725155,0,train
Обои флизелиновые Rasch Catania серые 1.06 м 929416,0,train
Обои флизелиновые Belvinil Эмили коричневые 1.06 м 0012-62,0,train
Обои бумажные A.S. Creation Boys & Girls 5 серые 0.53 м 304682,1,train
Обои бумажные Вояж бежевые 0.53 м С1-МО,1,train
Обои флизелиновые Палитра Ethno серые 1.06 м 3209-14,0,train
Обои бумажные Decoprint Young at Home красные 0.53 м YH17907,1,train
Обои флизелиновые Rasch Easy passion бежевые 0.53 м 732061,0,train
Обои флизелиновые Inspire Basic Vertical зелёные 1.06 м IS31002-37,0,train
Обои виниловые Aura Texture World серые 0.53 м 530404,0,train
Обои бумажные York Wallpapher коричневые 0.70 м WH2705,1,train
"Обои ED1016-2, бумажные , цвет розовый, 0.53x10 м",1,train
Обои флизелиновые Rasch Maximum XII бежевые 1.06 м 926934,0,train
Обои виниловые Aura Little England II голубые 0.53 м PR33865,0,train
Обои бумажные Московская обойная фабрика Астра Аврора розовые 235912-5 0.53 м,1,train
Обои виниловые Классика Дамаск синие 0.53 м 10026-66,0,train
Обои бумажные Rasch Bambino 2013 фиолетовые 0.53 м 134391,1,train
Обои бумажные Willberry Детство голубые 0.53 м 1286,1,train
Обои бумажные Брянск Волнафон 1 голубые 0.53 м,1,train
Обои флизелиновые Фокс Граф-2 серые 1.06 м Граф-2 2910,0,train
Обои бумажные Марс 0.53х10.05 м цвет бежевый,1,train
Обои виниловые Aura Little England II розовые 0.53 м PR33852,0,train
Обои флизелиновые Ромашки жёлтые 0.53 м 69-149/4,0,train
Обои флизелиновые Rasch Chatelaine III бежевые 968569 1.06 м,0,train
Обои 0.53х10 м однотон цвет бежевый АС 328274,0,train
Обои бумажные Erismann Lotta 2 белые 0.53 м 7358-09,1,train
Обои флизелиновые Rasch Poetry 2 бежевые 542424 0.53 м,0,train
Обои бумажные Моф EcoStyle 334512-8 0.53 м цвет голубой,1,train
Обои виниловые Aura Little England II розовые 0.53 м PR33857,0,train
Обои флизелиновые Мир Авангард бежевые 1.06 м 11-216-02,0,train
"Обои Serenada ЭР2968-3, на флизелиновой основе, цвет белый, 1.06х10 м",0,train
Обои флизелиновые Индустрия Diadema бежевые 1.06 м 167055-83,0,train
Обои бумажные Роксана серые 0.53 м 25Н-МО,1,train
Обои флизелиновые Vilia Витас бежевые 1.06 м 1340-41,0,train
Обои бумажные Брянск Кофе-2 0.53 м Кофе-2 Х 24 влагост.Обои Брянск,1,train
Обои виниловые Home Color Mozaica бежевые 0.53 м HC11021-12,0,train
Обои флизелиновые Vilia Витас зелёные 1.06 м 1340-71,0,train
Обои флизелиновые Inspire Basic Vertical синие 1.06 м IS31002-16,0,train
Обои флизелиновые Rasch Poetry бежевые 0.53 м 424010,0,train
Обои бумажные Моф EcoStyle 334512-7 0.53 м цвет бирюзовый,1,train
Обои флизелиновые Мир Авангард серые 1.06 м 11-238-04,0,train
Обои флизелиновые Мир Авангард бежевые 1.06 м 11-216-02,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 серые 0.53 м 724202,0,train
Обои виниловые Aura Little England II серые 0.53 м PR33863,0,train
Обои бумажные Этюд бежевые 0.53 м 415-02 С6,1,train
Обои на бумажной основе 0.53х10 м цвет жёлтый Ин 161041-21,0,train
Обои флизелиновые Rasch Gentle Elegance 2016 бежевые 0.53 м 724011,0,train
Обои флизелиновые Цветы серые 1.06 м 0402-5,0,train
Обои флизелиновые Rasch Florentine 2017 бежевые 0.53 м 448887,0,train
Обои флизелиновые Rasch Easy passion бежевые 0.53 м 732061,0,train
Обои бумажные Antonina Vella Silvana коричневые 0.70 м NX3151,1,train
Обои виниловые Aura Little England II коричневые 0.53 м PR33830,0,train
Обои флизелиновые Erismann Peonia розовые 1.06 м 5121-05,0,train
Обои флизелиновые Rasch Seduction 2014 жёлтые 0.53 м 796261,0,train
Обои виниловые Elysium Арабика коричневые 0.53 м 94103,0,train
Обои флизелиновые Палитра «Геометрия» коричневые 0.53х10 м PL11001-22,0,train
Обои флизелиновые Палитра Floris коричневые 0.53 м PL51016-58,0,train
Обои флизелиновые Волны серые 1.06 м 0407-1,0,train
Обои бумажные Московская обойная фабрика Волны бежевые 238862-3 0.53 м,1,train
Обои бумажные Моф EcoStyle жёлтые 0.53 м 239112-2,1,train
Обои бумажные York Small Prints бежевые 0.70 м PR 0110,1,train
Обои флизелиновые Rasch Trianon 2015 серые 0.53 м 513370,0,train
Обои флизелиновые Elysium Шпалеры серые 1.06 м Е67009,0,train
Обои флизелиновые Полосы розовые 1.06 м 0420-5,0,train
Обои флизелиновые Ateliero Leon зелёные 1.06 м 38324-05,0,train
Обои флизелиновые Home Color Serra коричневые HC31052-28 1.06 м,0,train
Обои флизелиновые Rasch Seduction 2014 оранжевые 0.53 м 796629,0,train
Обои флизелиновые Rasch Freundin lll зеленые 464092 0.53 м,0,train
Обои флизелиновые Волны бежевые 1.06 м 0407-5,0,train
Обои виниловые Aura Little England II бежевые 0.53 м PR33817,0,train
Обои виниловые Aura Little England II розовые 0.53 м PR33849,0,train
Обои флизелиновые Палитра «Полосы» бежевые 0.53х10 м PL51005-21,0,train
Обои бумажные Rasch Bambino XVIII жёлтые 0.53 м 249156,1,train
Обои бумажные Феодосия белые 0.53 м 211-01 С11,1,train
"Обои на бумажной основе EcoStyle «Астра 3», 53x10.05 м, цвет бежевый",1,train
Обои флизелиновые Home Color Colorist белые 405-01 1.06 м,0,train
Обои бумажные Rasch Villa Coppenrath II серые 0.53 м 296228,1,train
Обои бумажные York Opal Essence серые 0.70 м JC5998,1,train
Обои флизелиновые Rasch Crispy Paper коричневые 0.53 м 524406,0,train
Обои бумажные Московская Обойная Фабрика Вальс-Бостон бежевые 0.53 м 237112-3,1,train
Обои Вензель 0.53х10 м цвет коричневый АС 324531,0,train
Обои виниловые Elisium Сладости бежевые 0.53 м ЭЛ96621,0,train
Обои флизелиновые Belvinil Диана бежевые 1.06 м 0243-61,0,train
Обои флизелиновые Индустрия Diadema бежевые 1.06 м 167055-83,0,train
"Обои на бумажной основе EcoStyle «Астра 8», 53x10.05 м, цвет бордовый",1,train
Обои флизелиновые Inspire Basic Vertical бежевые 1.06 м IS31002-22,0,train
Обои флизелиновые Rasch Bond Street 2015 коричневые 0.53 м 726220,0,train
Обои флизелиновые Палитра Stone land бежевые 0.53 м N1001-21,0,train
Обои виниловые Цветы белые 0.53 м 0002-6,0,train
Обои бумажные Decoprint Young at Home 0.53 м YH17926,1,train
Обои бумажные Rasch Bambino XVIII розовые 0.53 м 248753,1,train
Обои флизелиновые Rasch Trianon 2015 жёлтые 0.53 м 513530,0,train
Обои флизелиновые Палитра Plaster оранжевые 1.06 м 3101-55,0,train
Обои флизелиновые Палитра «Волны» бежевые 0.53х10 м PL51001-22,0,train
Обои флизелиновые Rasch Black Forest 2016 зелёные 0.53 м 514308,0,train
Обои флизелиновые Rasch Out of Africa коричневые 0.53 м 715170,0,train
Обои флизелиновые Vernissage Tornado коричневые 1.06 м 167100-94,0,train
